Kruskal's algorithm:
Edges left:
0 34 5
1 110 2
2 139 3
3 145 2
5 40 3
5 42 2
5 83 4
6 88 1
6 128 2
6 150 2
7 108 1
8 170 1
8 230 2
9 225 3
11 97 1
12 49 2
13 174 3
13 207 6
13 235 1
14 196 2
15 227 6
17 161 2
19 61 2
20 5 2
22 232 3
23 161 4
25 45 1
26 90 2
28 96 1
28 97 1
28 231 2
29 74 2
29 131 1
30 96 3
30 185 2
31 212 1
31 221 2
32 26 1
32 112 2
32 167 1
36 31 2
36 200 1
37 158 4
38 26 2
39 246 2
41 19 2
41 92 1
42 4 3
43 226 1
44 5 3
45 41 1
48 35 2
49 193 2
50 1 2
52 61 3
54 137 1
54 145 2
57 101 1
57 113 1
59 188 2
60 181 2
63 55 3
64 17 2
65 18 5
65 132 9
66 53 2
67 31 3
69 123 4
70 161 1
72 55 2
72 82 3
72 123 2
72 243 2
73 77 3
74 218 1
75 33 1
75 213 1
75 217 1
75 224 3
76 46 1
76 240 1
79 62 3
79 92 2
80 218 6
81 93 2
82 190 1
84 136 5
85 83 8
86 186 2
86 249 2
87 110 1
90 206 1
91 144 5
92 27 1
94 92 2
95 87 2
95 89 2
95 158 1
95 220 2
97 2 3
97 103 5
98 54 1
98 79 1
98 142 3
102 243 3
104 245 3
105 17 3
106 198 1
108 119 3
111 21 4
112 18 5
112 48 3
114 68 1
115 239 4
116 71 2
116 147 2
117 14 1
117 53 2
118 38 1
119 58 2
119 86 3
119 229 3
120 114 2
120 134 1
121 186 2
122 22 1
122 107 3
122 169 1
123 56 6
123 66 1
124 81 4
124 197 3
125 107 1
126 116 2
126 235 1
128 42 1
128 154 2
128 173 1
130 204 1
133 74 1
134 78 2
134 95 1
134 129 1
134 175 1
135 74 1
138 58 3
138 237 4
140 145 7
143 1 1
143 100 7
145 20 1
145 51 2
146 62 1
147 51 1
148 147 2
149 192 2
151 47 6
152 213 4
153 10 5
153 34 3
153 169 2
154 78 2
154 210 1
156 11 2
157 9 1
159 115 2
161 29 3
163 206 4
164 127 3
164 185 4
165 197 12
166 61 2
166 161 1
166 202 1
166 233 2
168 5 1
170 47 4
171 231 5
172 32 5
173 109 6
174 228 3
176 46 2
177 11 2
178 22 1
179 34 2
179 144 2
179 162 4
179 238 3
180 225 2
181 77 3
183 189 4
187 231 2
188 5 3
190 236 3
191 13 1
191 156 1
192 177 2
194 77 1
194 182 1
194 210 2
195 124 1
196 35 2
196 224 3
197 222 1
198 208 3
199 159 4
200 136 5
201 86 1
201 110 2
201 183 2
204 39 3
205 168 2
206 141 1
208 153 1
209 187 1
211 120 3
214 5 2
215 54 1
219 168 2
219 216 2
221 153 3
221 180 2
223 22 2
223 49 2
223 211 1
224 24 2
224 160 1
226 46 2
227 204 2
230 203 6
230 223 2
232 155 1
234 92 3
235 115 3
237 99 2
240 161 2
240 184 4
241 37 4
241 245 6
242 111 3
242 214 4
243 28 1
243 113 1
244 126 3
245 16 8
246 178 2
247 224 4
248 3 4
249 195 2
Cost: 606
Time: 48.9898

Prim's algorithm:
Edges left:
0 34 5
1 110 2
2 139 3
2 215 3
3 44 3
3 145 2
5 40 3
5 42 2
5 83 4
6 88 1
6 128 2
6 150 2
7 108 1
8 170 1
8 230 2
9 225 3
11 97 1
12 49 2
13 174 3
13 207 6
13 235 1
15 227 6
17 161 2
18 29 5
19 61 2
20 5 2
22 232 3
23 161 4
25 45 1
26 90 2
28 96 1
28 97 1
28 231 2
29 74 2
29 131 1
30 96 3
30 185 2
31 212 1
31 221 2
32 26 1
32 112 2
32 167 1
36 31 2
36 200 1
37 158 4
38 26 2
38 214 3
39 246 2
41 19 2
41 92 1
42 4 3
42 239 4
43 226 1
45 41 1
48 35 2
49 193 2
50 1 2
52 61 3
54 137 1
54 145 2
55 247 4
57 101 1
57 113 1
59 188 2
60 181 2
63 55 3
64 17 2
65 18 5
66 53 2
67 31 3
69 123 4
70 161 1
71 224 3
72 55 2
72 82 3
72 123 2
72 243 2
73 77 3
74 218 1
75 33 1
75 213 1
75 217 1
76 46 1
76 240 1
77 8 3
79 62 3
79 92 2
80 218 6
81 93 2
82 190 1
84 136 5
85 83 8
86 186 2
86 249 2
87 110 1
90 206 1
91 144 5
92 27 1
94 92 2
95 87 2
95 89 2
95 158 1
95 220 2
97 103 5
98 54 1
98 79 1
98 142 3
102 243 3
104 245 3
105 17 3
106 198 1
107 51 3
111 21 4
114 68 1
116 71 2
116 147 2
117 14 1
117 53 2
118 38 1
119 58 2
119 86 3
119 229 3
120 3 2
120 114 2
120 134 1
121 34 3
121 81 4
121 186 2
122 22 1
122 169 1
123 56 6
123 66 1
124 197 3
125 107 1
126 116 2
126 235 1
128 42 1
128 173 1
130 204 1
132 161 9
133 74 1
134 78 2
134 95 1
134 129 1
134 175 1
135 74 1
138 58 3
138 237 4
140 145 7
143 1 1
143 100 7
145 20 1
145 35 2
145 51 2
146 62 1
147 51 1
148 147 2
149 192 2
151 47 6
152 190 4
153 10 5
153 169 2
154 78 2
154 210 1
156 11 2
157 9 1
159 115 2
161 29 3
161 111 4
163 206 4
164 127 3
164 186 4
165 197 12
166 61 2
166 161 1
166 202 1
166 233 2
168 5 1
170 47 4
171 231 5
172 32 5
173 109 6
174 228 3
176 46 2
176 108 3
177 11 2
178 22 1
179 34 2
179 144 2
179 162 4
179 238 3
180 225 2
181 77 3
183 189 4
187 231 2
188 5 3
190 236 3
191 13 1
191 156 1
192 177 2
194 77 1
194 182 1
194 210 2
195 124 1
196 35 2
197 222 1
198 208 3
200 136 5
201 86 1
201 110 2
201 183 2
204 39 3
205 168 2
206 141 1
208 153 1
209 187 1
214 5 2
214 217 3
215 54 1
215 199 4
219 168 2
219 216 2
221 153 3
221 180 2
223 22 2
223 49 2
223 211 1
224 24 2
224 160 1
226 46 2
227 204 2
230 203 6
230 223 2
232 155 1
234 92 3
235 115 3
237 99 2
240 161 2
240 184 4
241 154 4
242 111 3
243 28 1
243 113 1
244 126 3
245 16 8
245 162 6
246 178 2
248 3 4
249 195 2
Cost: 606
Time: 0.50112
